sample_id,fastq_1
EXP007_RTF,/dartfs-hpc/rc/lab/G/GSR_Active/Labs/Hong/251028_RNAseq/222632_22_S28_R1_001.fastq.gz
EXP007_RPUL,/dartfs-hpc/rc/lab/G/GSR_Active/Labs/Hong/251028_RNAseq/222632_23_S29_R1_001.fastq.gz
EXP007_RIA,/dartfs-hpc/rc/lab/G/GSR_Active/Labs/Hong/251028_RNAseq/222632_24_S30_R1_001.fastq.gz
EXP007_RIP,/dartfs-hpc/rc/lab/G/GSR_Active/Labs/Hong/251028_RNAseq/222632_25_S31_R1_001.fastq.gz
EXP007_RFOA,/dartfs-hpc/rc/lab/G/GSR_Active/Labs/Hong/251028_RNAseq/222632_26_S32_R1_001.fastq.gz
EXP007_RFCA,/dartfs-hpc/rc/lab/G/GSR_Active/Labs/Hong/251028_RNAseq/222632_27_S33_R1_001.fastq.gz
EXP007_RFCB,/dartfs-hpc/rc/lab/G/GSR_Active/Labs/Hong/251028_RNAseq/222632_28_S34_R1_001.fastq.gz
EXP007_RPPC,/dartfs-hpc/rc/lab/G/GSR_Active/Labs/Hong/251028_RNAseq/222632_29_S35_R1_001.fastq.gz
EXP007_RPX,/dartfs-hpc/rc/lab/G/GSR_Active/Labs/Hong/251028_RNAseq/222632_30_S36_R1_001.fastq.gz
EXP007_LTHA,/dartfs-hpc/rc/lab/G/GSR_Active/Labs/Hong/251028_RNAseq/222632_31_S37_R1_001.fastq.gz
EXP007_LTX,/dartfs-hpc/rc/lab/G/GSR_Active/Labs/Hong/251028_RNAseq/222632_32_S38_R1_001.fastq.gz
EXP007_LPUL,/dartfs-hpc/rc/lab/G/GSR_Active/Labs/Hong/251028_RNAseq/222632_33_S39_R1_001.fastq.gz
